前田屋敷駅,まえだやしきえき
間沢駅,まざわえき
松峯駅,まつみねえき
道ノ上駅,みちのかみえき
湊駅,みなとえき
南宮下駅,みなみみやしたえき
陸奥関根駅,むつせきねえき
茂内駅,しげないえき
盛田牧場前駅,もりたぼくじょうまええき
谷地畑駅,やちはたえき
柳沢駅,やなぎさわえき
雪沢温泉駅,ゆきさわおんせんえき
湯野浜温泉駅,ゆのはまおんせんえき
若柳駅,わかやなぎえき
相生町駅,あいおいちょうえき
足尾本山駅,あしおほんざんえき
安比奈駅,あひなえき、西武安比奈線
雨引駅,あまびきえき
鮎川駅,あゆかわえき
新生駅,あらおいえき
荒生駅,あらおいえき
荒川橋駅,あらかわばしえき
石岡南台駅,いしおかみなみだいえき
泉町駅,いずみちょうえき
一色駅,いっしきえき
今諏訪駅,いますわえき
入江崎駅,いりえざきえき
海神奈川駅,うみかながわえき
榎駅,えのきえき
榎本駅,えのきもとえき
大久野駅,おおぐのえき
大竹駅,おおたけえき
太子駅,おおしえき
大田原駅,おおたわらえき
大成駅,おおなりえき
大沼駅,おおぬまえき
大橋駅,おおはしえき
大幡駅,おおはたえき
小笠原駅,おがさわらえき
小笠原下町駅,おがさわらしもまちえき
小川高校下駅,おがわこうこうしたえき
奥野駅,おくのえき
小沢駅,おざわえき
大森停車場駅,おほもりていしゃじょうえき
表高島駅,おもてたかしまえき
甲斐青柳駅,かいあおやぎえき
甲斐飯野駅,かいいいのえき
甲斐大井駅,かいおおいえき
上総片貝駅,かずさかたかいえき
学校前駅,がっこうまええき
家徳駅,かとくえき
神奈川駅,かながわえき
樺穂駅,かばほえき
上石田駅,かみいしだえき
上井ノ口駅,かみいのくちえき
上大島駅,かみおおしまえき
柄堀駅,からほりえき
借宿前駅,かりやどまええき
川中子駅,かわなかごえき
河原子駅,かわらごえき
貢川駅,くがわえき
草木駅,くさきえき
久慈浜駅,くじはまえき
熊ノ平駅,くまのたいらえき
グラントハイツ駅,グラントハイツえき
黒羽駅,くろばねえき
警察署前駅,けいさつしょまええき
京成玉ノ井駅,けいせいたまのいえき
県会議事堂前駅,けんかいぎじどうまええき
県庁前駅,けんちょうまええき
幸岡駅,こうおかえき
甲府駅前駅,こうふえきまええき
寿町駅,ことぶきちょうえき
駒ヶ岳頂上駅,こまがたけちょうじょうえき
